,gender,age,occupation_id,cp,occupation
272,M,1,10,79358,K-12 student
273,M,1,10,06437,K-12 student
274,M,1,10,06437,K-12 student
275,M,1,10,06437,K-12 student
276,M,1,10,46033,K-12 student
277,M,1,10,46033,K-12 student
278,M,1,10,46033,K-12 student
279,M,1,10,45241,K-12 student
280,M,1,10,45241,K-12 student
281,M,1,10,45241,K-12 student
282,M,1,10,60462,K-12 student
283,M,1,10,60462,K-12 student
284,M,1,10,60462,K-12 student
285,F,1,10,01607,K-12 student
286,F,1,10,01607,K-12 student
287,F,1,10,01607,K-12 student
288,M,18,10,02780,K-12 student
289,M,18,10,02780,K-12 student
290,M,18,10,02780,K-12 student
291,F,1,10,00681,K-12 student
292,F,1,10,00681,K-12 student
293,F,1,10,00681,K-12 student
294,M,18,10,32750,K-12 student
295,M,18,10,32750,K-12 student
296,M,18,10,32750,K-12 student
297,F,1,10,50246,K-12 student
298,F,1,10,50246,K-12 student
299,F,1,10,50246,K-12 student
300,F,1,10,35810,K-12 student
301,F,1,10,35810,K-12 student
302,F,1,10,35810,K-12 student
303,M,1,10,99203,K-12 student
304,M,1,10,99203,K-12 student
305,M,1,10,99203,K-12 student
306,M,1,10,60202,K-12 student
307,M,1,10,60202,K-12 student
308,M,1,10,60202,K-12 student
309,M,1,10,60148,K-12 student
310,M,1,10,60148,K-12 student
311,M,1,10,60148,K-12 student
312,M,1,10,41011,K-12 student
313,M,1,10,41011,K-12 student
314,M,1,10,41011,K-12 student
315,M,1,10,60148,K-12 student
316,M,1,10,60148,K-12 student
317,M,1,10,60148,K-12 student
318,M,1,10,60613,K-12 student
319,M,1,10,60613,K-12 student
320,M,1,10,60613,K-12 student
321,F,1,10,11743,K-12 student
322,F,1,10,11743,K-12 student
323,F,1,10,11743,K-12 student
324,M,1,10,44906,K-12 student
325,M,1,10,44906,K-12 student
326,M,1,10,44906,K-12 student
327,M,1,10,46324,K-12 student
328,M,1,10,46324,K-12 student
329,M,1,10,46324,K-12 student
330,M,1,10,96782,K-12 student
331,M,1,10,96782,K-12 student
332,M,1,10,96782,K-12 student
333,M,18,10,60148,K-12 student
334,M,18,10,60148,K-12 student
335,M,18,10,60148,K-12 student
336,M,1,10,60565,K-12 student
337,M,1,10,60565,K-12 student
338,M,1,10,60565,K-12 student
339,M,1,10,60007,K-12 student
340,M,1,10,60007,K-12 student
341,M,1,10,60007,K-12 student
342,F,1,10,13090,K-12 student
343,F,1,10,13090,K-12 student
344,F,1,10,13090,K-12 student
345,M,1,10,13066,K-12 student
346,M,1,10,13066,K-12 student
347,M,1,10,13066,K-12 student
348,F,18,10,13090,K-12 student
349,F,18,10,13090,K-12 student
350,F,18,10,13090,K-12 student
351,M,18,10,48169,K-12 student
352,M,18,10,48169,K-12 student
353,M,18,10,48169,K-12 student
354,F,1,10,48105,K-12 student
355,F,1,10,48105,K-12 student
356,F,1,10,48105,K-12 student
357,F,1,10,06074,K-12 student
358,F,1,10,06074,K-12 student
359,F,1,10,06074,K-12 student
360,M,1,10,44224,K-12 student
361,M,1,10,44224,K-12 student
362,M,1,10,44224,K-12 student
363,M,18,10,53207,K-12 student
364,M,18,10,53207,K-12 student
365,M,18,10,53207,K-12 student
366,F,1,10,47403,K-12 student
367,F,1,10,47403,K-12 student
368,F,1,10,47403,K-12 student
369,M,1,10,08805,K-12 student
370,M,1,10,08805,K-12 student
371,M,1,10,08805,K-12 student
372,M,1,10,15208,K-12 student
373,M,1,10,15208,K-12 student
374,M,1,10,15208,K-12 student
375,F,1,10,64093,K-12 student
376,F,1,10,64093,K-12 student
377,F,1,10,64093,K-12 student
378,F,1,10,72601,K-12 student
379,F,1,10,72601,K-12 student
380,F,1,10,72601,K-12 student
381,M,1,10,12701,K-12 student
382,M,1,10,12701,K-12 student
383,M,1,10,12701,K-12 student
384,M,25,10,55414,K-12 student
385,M,25,10,55414,K-12 student
386,M,25,10,55414,K-12 student
387,M,1,10,20876,K-12 student
388,M,1,10,20876,K-12 student
389,M,1,10,20876,K-12 student
390,F,1,10,55305,K-12 student
391,F,1,10,55305,K-12 student
392,F,1,10,55305,K-12 student
393,M,1,10,97402,K-12 student
394,M,1,10,97402,K-12 student
395,M,1,10,97402,K-12 student
396,M,1,10,48867,K-12 student
397,M,1,10,48867,K-12 student
398,M,1,10,48867,K-12 student
399,F,1,10,02879,K-12 student
400,F,1,10,02879,K-12 student
401,F,1,10,02879,K-12 student
402,M,18,10,48439,K-12 student
403,M,18,10,48439,K-12 student
404,M,18,10,48439,K-12 student
405,F,1,10,10706,K-12 student
406,F,1,10,10706,K-12 student
407,F,1,10,10706,K-12 student
408,M,1,10,02818,K-12 student
409,M,1,10,02818,K-12 student
410,M,1,10,02818,K-12 student
411,F,1,10,32043,K-12 student
412,F,1,10,32043,K-12 student
413,F,1,10,32043,K-12 student
414,F,1,10,95864,K-12 student
415,F,1,10,95864,K-12 student
416,F,1,10,95864,K-12 student
417,M,1,10,48445,K-12 student
418,M,1,10,48445,K-12 student
419,M,1,10,48445,K-12 student
420,M,1,10,28270,K-12 student
421,M,1,10,28270,K-12 student
422,M,1,10,28270,K-12 student
423,F,1,10,55391,K-12 student
424,F,1,10,55391,K-12 student
425,F,1,10,55391,K-12 student
426,M,1,10,48655,K-12 student
427,M,1,10,48655,K-12 student
428,M,1,10,48655,K-12 student
429,M,1,10,46321,K-12 student
430,M,1,10,46321,K-12 student
431,M,1,10,46321,K-12 student
432,F,1,10,90039,K-12 student
433,F,1,10,90039,K-12 student
434,F,1,10,90039,K-12 student
435,M,1,10,75633,K-12 student
436,M,1,10,75633,K-12 student
437,M,1,10,75633,K-12 student
438,F,1,10,10025,K-12 student
439,F,1,10,10025,K-12 student
440,F,1,10,10025,K-12 student
441,M,1,10,55427,K-12 student
442,M,1,10,55427,K-12 student
443,M,1,10,55427,K-12 student
444,F,1,10,99016,K-12 student
445,F,1,10,99016,K-12 student
446,F,1,10,99016,K-12 student
447,M,35,10,94133,K-12 student
448,M,35,10,94133,K-12 student
449,M,35,10,94133,K-12 student
450,F,1,10,17036,K-12 student
451,F,1,10,17036,K-12 student
452,F,1,10,17036,K-12 student
453,F,1,10,03608,K-12 student
454,F,1,10,03608,K-12 student
455,F,1,10,03608,K-12 student
456,F,1,10,90291,K-12 student
457,F,1,10,90291,K-12 student
458,F,1,10,90291,K-12 student
459,F,1,10,79605,K-12 student
460,F,1,10,79605,K-12 student
461,F,1,10,79605,K-12 student
462,M,18,10,79605,K-12 student
463,M,18,10,79605,K-12 student
464,M,18,10,79605,K-12 student
465,M,1,10,03608,K-12 student
466,M,1,10,03608,K-12 student
467,M,1,10,03608,K-12 student
468,M,1,10,55317,K-12 student
469,M,1,10,55317,K-12 student
470,M,1,10,55317,K-12 student
471,F,1,10,02906,K-12 student
472,F,1,10,02906,K-12 student
473,F,1,10,02906,K-12 student
474,M,1,10,55616,K-12 student
475,M,1,10,55616,K-12 student
476,M,1,10,55616,K-12 student
477,M,1,10,63123-1507,K-12 student
478,M,1,10,63123-1507,K-12 student
479,M,1,10,63123-1507,K-12 student
480,M,1,10,90210,K-12 student
481,M,1,10,90210,K-12 student
482,M,1,10,90210,K-12 student
483,F,1,10,22801,K-12 student
484,F,1,10,22801,K-12 student
485,F,1,10,22801,K-12 student
486,M,18,10,67206,K-12 student
487,M,18,10,67206,K-12 student
488,M,18,10,67206,K-12 student
489,F,1,10,22932,K-12 student
490,F,1,10,22932,K-12 student
491,F,1,10,22932,K-12 student
492,M,1,10,95123,K-12 student
493,M,1,10,95123,K-12 student
494,M,1,10,95123,K-12 student
495,M,1,10,60423,K-12 student
496,M,1,10,60423,K-12 student
497,M,1,10,60423,K-12 student
498,M,1,10,60423,K-12 student
499,M,1,10,60423,K-12 student
500,M,1,10,60423,K-12 student
501,M,56,10,11361,K-12 student
502,M,56,10,11361,K-12 student
503,M,56,10,11361,K-12 student
504,M,18,10,64050,K-12 student
505,M,18,10,64050,K-12 student
506,M,18,10,64050,K-12 student
507,M,1,10,54220,K-12 student
508,M,1,10,54220,K-12 student
509,M,1,10,54220,K-12 student
510,F,1,10,01915,K-12 student
511,F,1,10,01915,K-12 student
512,F,1,10,01915,K-12 student
513,M,1,10,55305,K-12 student
514,M,1,10,55305,K-12 student
515,M,1,10,55305,K-12 student
516,F,1,10,02332,K-12 student
517,F,1,10,02332,K-12 student
518,F,1,10,02332,K-12 student
519,M,1,10,59801,K-12 student
520,M,1,10,59801,K-12 student
521,M,1,10,59801,K-12 student
522,M,1,10,07652,K-12 student
523,M,1,10,07652,K-12 student
524,M,1,10,07652,K-12 student
525,F,1,10,99016,K-12 student
526,F,1,10,99016,K-12 student
527,F,1,10,99016,K-12 student
528,F,1,10,76501,K-12 student
529,F,1,10,76501,K-12 student
530,F,1,10,76501,K-12 student
531,F,1,10,26505,K-12 student
532,F,1,10,26505,K-12 student
533,F,1,10,26505,K-12 student
534,F,1,10,55311,K-12 student
535,F,1,10,55311,K-12 student
536,F,1,10,55311,K-12 student
537,M,1,10,37830,K-12 student
538,M,1,10,37830,K-12 student
539,M,1,10,37830,K-12 student
540,M,1,10,02446,K-12 student
541,M,1,10,02446,K-12 student
542,M,1,10,02446,K-12 student
543,M,1,10,11102,K-12 student
544,M,1,10,11102,K-12 student
545,M,1,10,11102,K-12 student
546,M,1,10,73013,K-12 student
547,M,1,10,73013,K-12 student
548,M,1,10,73013,K-12 student
549,M,1,10,07960,K-12 student
550,M,1,10,07960,K-12 student
551,M,1,10,07960,K-12 student
552,M,1,10,03756,K-12 student
553,M,1,10,03756,K-12 student
554,M,1,10,03756,K-12 student
555,M,18,10,99016,K-12 student
556,M,18,10,99016,K-12 student
557,M,18,10,99016,K-12 student
558,F,1,10,98110,K-12 student
559,F,1,10,98110,K-12 student
560,F,1,10,98110,K-12 student
561,M,1,10,05667,K-12 student
562,M,1,10,05667,K-12 student
563,M,1,10,05667,K-12 student
564,M,18,10,56137,K-12 student
565,M,18,10,56137,K-12 student
566,M,18,10,56137,K-12 student
567,M,1,10,01597,K-12 student
568,M,1,10,01597,K-12 student
569,M,1,10,01597,K-12 student
570,F,1,10,02131,K-12 student
571,F,1,10,02131,K-12 student
572,F,1,10,02131,K-12 student
573,F,18,10,27606,K-12 student
574,F,18,10,27606,K-12 student
575,F,18,10,27606,K-12 student
576,M,1,10,21030,K-12 student
577,M,1,10,21030,K-12 student
578,M,1,10,21030,K-12 student
579,M,1,10,54701,K-12 student
580,M,1,10,54701,K-12 student
581,M,1,10,54701,K-12 student
582,F,1,10,74114,K-12 student
583,F,1,10,74114,K-12 student
584,F,1,10,74114,K-12 student
585,F,1,10,48067,K-12 student
586,F,1,10,48067,K-12 student
587,F,1,10,48067,K-12 student
588,M,1,10,48073,K-12 student
589,M,1,10,48073,K-12 student
590,M,1,10,48073,K-12 student
591,F,1,10,10562,K-12 student
592,F,1,10,10562,K-12 student
593,F,1,10,10562,K-12 student
594,F,1,10,01748,K-12 student
595,F,1,10,01748,K-12 student
596,F,1,10,01748,K-12 student
597,F,1,10,54467,K-12 student
598,F,1,10,54467,K-12 student
599,F,1,10,54467,K-12 student
600,F,1,10,19390,K-12 student
601,F,1,10,19390,K-12 student
602,F,1,10,19390,K-12 student
603,F,1,10,77515,K-12 student
604,F,1,10,77515,K-12 student
605,F,1,10,77515,K-12 student
606,M,1,10,51537,K-12 student
607,M,1,10,51537,K-12 student
608,M,1,10,51537,K-12 student
609,F,1,10,29146,K-12 student
610,F,1,10,29146,K-12 student
611,F,1,10,29146,K-12 student
612,F,1,10,25801,K-12 student
613,F,1,10,25801,K-12 student
614,F,1,10,25801,K-12 student
615,M,18,10,04576,K-12 student
616,M,18,10,04576,K-12 student
617,M,18,10,04576,K-12 student
618,M,1,10,08035,K-12 student
619,M,1,10,08035,K-12 student
620,M,1,10,08035,K-12 student
621,M,18,10,55419,K-12 student
622,M,18,10,55419,K-12 student
623,M,18,10,55419,K-12 student
624,F,18,10,55306,K-12 student
625,F,18,10,55306,K-12 student
626,F,18,10,55306,K-12 student
627,M,18,10,55303,K-12 student
628,M,18,10,55303,K-12 student
629,M,18,10,55303,K-12 student
630,F,1,10,55082,K-12 student
631,F,1,10,55082,K-12 student
632,F,1,10,55082,K-12 student
633,F,1,10,55068,K-12 student
634,F,1,10,55068,K-12 student
635,F,1,10,55068,K-12 student
636,F,1,10,55104,K-12 student
637,F,1,10,55104,K-12 student
638,F,1,10,55104,K-12 student
639,M,1,10,55345,K-12 student
640,M,1,10,55345,K-12 student
641,M,1,10,55345,K-12 student
642,M,18,10,55421,K-12 student
643,M,18,10,55421,K-12 student
644,M,18,10,55421,K-12 student
645,M,1,10,08534,K-12 student
646,M,1,10,08534,K-12 student
647,M,1,10,08534,K-12 student
648,F,1,10,49507,K-12 student
649,F,1,10,49507,K-12 student
650,F,1,10,49507,K-12 student
651,F,1,10,48154,K-12 student
652,F,1,10,48154,K-12 student
653,F,1,10,48154,K-12 student
654,F,1,10,49512,K-12 student
655,F,1,10,49512,K-12 student
656,F,1,10,49512,K-12 student
657,M,1,10,90004,K-12 student
658,M,1,10,90004,K-12 student
659,M,1,10,90004,K-12 student
660,M,1,10,42754,K-12 student
661,M,1,10,42754,K-12 student
662,M,1,10,42754,K-12 student
663,M,1,10,63041,K-12 student
664,M,1,10,63041,K-12 student
665,M,1,10,63041,K-12 student
666,M,18,10,02882,K-12 student
667,M,18,10,02882,K-12 student
668,M,18,10,02882,K-12 student
669,M,1,10,08820,K-12 student
670,M,1,10,08820,K-12 student
671,M,1,10,08820,K-12 student
672,M,1,10,76013,K-12 student
673,M,1,10,76013,K-12 student
674,M,1,10,76013,K-12 student
675,M,1,10,94707,K-12 student
676,M,1,10,94707,K-12 student
677,M,1,10,94707,K-12 student
678,M,1,10,49454,K-12 student
679,M,1,10,49454,K-12 student
680,M,1,10,49454,K-12 student
681,F,1,10,08820,K-12 student
682,F,1,10,08820,K-12 student
683,F,1,10,08820,K-12 student
684,M,1,10,71106,K-12 student
685,M,1,10,71106,K-12 student
686,M,1,10,71106,K-12 student
687,M,1,10,07869,K-12 student
688,M,1,10,07869,K-12 student
689,M,1,10,07869,K-12 student
690,M,1,10,76240,K-12 student
691,M,1,10,76240,K-12 student
692,M,1,10,76240,K-12 student
693,M,1,10,45244,K-12 student
694,M,1,10,45244,K-12 student
695,M,1,10,45244,K-12 student
696,M,18,10,10016,K-12 student
697,M,18,10,10016,K-12 student
698,M,18,10,10016,K-12 student
699,M,1,10,48073,K-12 student
700,M,1,10,48073,K-12 student
701,M,1,10,48073,K-12 student
702,F,1,10,77477,K-12 student
703,F,1,10,77477,K-12 student
704,F,1,10,77477,K-12 student
705,M,1,10,75040,K-12 student
706,M,1,10,75040,K-12 student
707,M,1,10,75040,K-12 student
708,M,18,10,11235,K-12 student
709,M,18,10,11235,K-12 student
710,M,18,10,11235,K-12 student
711,F,1,10,98103,K-12 student
712,F,1,10,98103,K-12 student
713,F,1,10,98103,K-12 student
714,M,1,10,80439,K-12 student
715,M,1,10,80439,K-12 student
716,M,1,10,80439,K-12 student
717,M,18,10,45904,K-12 student
718,M,18,10,45904,K-12 student
719,M,18,10,45904,K-12 student
720,M,18,10,33024,K-12 student
721,M,18,10,33024,K-12 student
722,M,18,10,33024,K-12 student
723,F,1,10,53545,K-12 student
724,F,1,10,53545,K-12 student
725,F,1,10,53545,K-12 student
726,M,1,10,70448,K-12 student
727,M,1,10,70448,K-12 student
728,M,1,10,70448,K-12 student
729,M,1,10,91326,K-12 student
730,M,1,10,91326,K-12 student
731,M,1,10,91326,K-12 student
732,F,1,10,13907,K-12 student
733,F,1,10,13907,K-12 student
734,F,1,10,13907,K-12 student
735,M,1,10,49544,K-12 student
736,M,1,10,49544,K-12 student
737,M,1,10,49544,K-12 student
738,M,1,10,48073,K-12 student
739,M,1,10,48073,K-12 student
740,M,1,10,48073,K-12 student
741,M,1,10,11803,K-12 student
742,M,1,10,11803,K-12 student
743,M,1,10,11803,K-12 student
744,M,1,10,81301,K-12 student
745,M,1,10,81301,K-12 student
746,M,1,10,81301,K-12 student
747,M,1,10,97801,K-12 student
748,M,1,10,97801,K-12 student
749,M,1,10,97801,K-12 student
750,M,1,10,97201,K-12 student
751,M,1,10,97201,K-12 student
752,M,1,10,97201,K-12 student
753,M,1,10,75082,K-12 student
754,M,1,10,75082,K-12 student
755,M,1,10,75082,K-12 student
756,M,18,10,90274,K-12 student
757,M,18,10,90274,K-12 student
758,M,18,10,90274,K-12 student
759,M,1,10,12159,K-12 student
760,M,1,10,12159,K-12 student
761,M,1,10,12159,K-12 student
762,F,1,10,04240,K-12 student
763,F,1,10,04240,K-12 student
764,F,1,10,04240,K-12 student
765,M,1,10,95926,K-12 student
766,M,1,10,95926,K-12 student
767,M,1,10,95926,K-12 student
768,F,1,10,61665,K-12 student
769,F,1,10,61665,K-12 student
770,F,1,10,61665,K-12 student
771,M,1,10,89509,K-12 student
772,M,1,10,89509,K-12 student
773,M,1,10,89509,K-12 student
774,M,1,10,95123,K-12 student
775,M,1,10,95123,K-12 student
776,M,1,10,95123,K-12 student
777,M,1,10,58078,K-12 student
778,M,1,10,58078,K-12 student
779,M,1,10,58078,K-12 student
780,M,18,10,98058,K-12 student
781,M,18,10,98058,K-12 student
782,M,18,10,98058,K-12 student
783,F,1,10,53704,K-12 student
784,F,1,10,53704,K-12 student
785,F,1,10,53704,K-12 student
786,M,1,10,08872,K-12 student
787,M,1,10,08872,K-12 student
788,M,1,10,08872,K-12 student
789,F,1,10,495321,K-12 student
790,F,1,10,495321,K-12 student
791,F,1,10,495321,K-12 student
792,M,1,10,92620,K-12 student
793,M,1,10,92620,K-12 student
794,M,1,10,92620,K-12 student
795,M,1,10,19343,K-12 student
796,M,1,10,19343,K-12 student
797,M,1,10,19343,K-12 student
798,F,1,10,94539,K-12 student
799,F,1,10,94539,K-12 student
800,F,1,10,94539,K-12 student
801,M,18,10,78230,K-12 student
802,M,18,10,78230,K-12 student
803,M,18,10,78230,K-12 student
804,F,1,10,87123,K-12 student
805,F,1,10,87123,K-12 student
806,F,1,10,87123,K-12 student
807,F,1,10,94086,K-12 student
808,F,1,10,94086,K-12 student
809,F,1,10,94086,K-12 student
810,M,1,10,98043-3621,K-12 student
811,M,1,10,98043-3621,K-12 student
812,M,1,10,98043-3621,K-12 student
813,M,18,10,97303,K-12 student
814,M,18,10,97303,K-12 student
815,M,18,10,97303,K-12 student
816,M,1,10,19116,K-12 student
817,M,1,10,19116,K-12 student
818,M,1,10,19116,K-12 student
